Artist,Song,Wave,Year,Lyrics,Original Lyrics,,
Bikini Kill,Double Dare Ya,3,2014,"[Intro]
Is that supposed to be doing that? Okay, sorry, okay, we're starting now. 
We're Bikini Kill and we want Revolution Girl-style now!

[Verse 1]
Hey girlfriend
I got a proposition, goes something like this
Dare ya to do what you want
Dare ya to be who you will
Dare ya to cry right out loud
""You get so emotional, baby""

[Chorus]
Double dare ya, double dare ya
Double dare ya, girl-fuckin'-friend, yeah
Double dare ya, double dare ya
Double dare ya, girl

[Verse 2]
Don't you talk out of line
Don't go speaking out of your turn
Gotta listen to what the Man says, oh
Time to make his stomach burn, burn, burn, burn, burn, burn, burn

[Chorus]
Double dare ya, double dare ya
Double dare ya, girl-fuckin'-friend, yeah
Double dare ya, double dare ya
Double dare ya, girl
[Bridge]
You're a big girl now
You've got no reason not to fight
You've got to know what they are
For you can stand up for your rights
Rights, rights? You do have rights!

[Chorus]
Double dare ya, double dare ya
Double triple fuckin' dare ya, girlfriend
Double dare ya, double dare ya
Double dare ya, girl",,,
Gossip,Where the Girls Are,3,2001,"[Intro]
That's where I'll be
Where the girls are
That's where I'll be

[Verse]
Girl, I'll even tell your sister
Girl, I love you like no other
I'll be your missus, be your mistress
Girl, I'll even tell your mother

[Chorus]
When I'm right, I say I'm right
If I'm wrong, please tell me I'm wrong
Come on home with me tonight
Let me love you all night long

[Verse]
Girl, I'll even tell your sister
Girl, I love you like no other
I'll be your missus, be your mistress
Girl, I'll even tell your mother

[Chorus]
When I'm right, I say I'm right
If I'm wrong, please tell me I'm wrong
Come on home with me tonight
Let me love you all night long
 [Refrain]
Girl, I'll even tell your sister
Girl, I love you like no other
I'll be your missus, be your mistress

[Chorus]
When I'm right, I say I'm right
If I'm wrong, please tell me I'm wrong
Come on home with me tonight
Let me love you all night long",,,
Bratmobile,Love Thing,3,1993,"Admit it;
Innocent little girls turn you on don't they?

You like to make them cry
You like to tell them why
You like to grow them up
Swallow hard and throw them up

I would die to hate you
See my heart in my hand
Do you really understand
Get my heart of your hand
Get your hand of my heart

I would die to hate you

But it's a love thing
You say you got this love thing
You think it's just a love thing
Fuck your fuckin' love thing

By the way
Your bright eyes are not so encouraging

You want my youth so bad
You love to see me sad
All the sunlight that you say
Can never make it go away
 I would DIE to not care anymore

See my heart in my hand
Do you really understand
Get my heart of your hand
Get your hand of my heart

I would die to hate you

But it's a love thing
You say you got this love thing
You think it's just a love thing
Fuck your fuckin' love thing

I would die to not care anymore
I would die to hate you",,,
Lunachicks,Bitterness Barbie,3,1995,"Why must I stand on my toes?
Perfect smile and skin tight clothes
Cinched waist, no cunt to piss with
A stamp on my ass
Little girls worship me
And that'll never come to pass
But at last....
I'm turning over a new loaf
I'm eating dry toast
I'm wearing slippers on my flat feet
I have cellulite
Bitterness Barbie, she ain't smiling
Bitterness Barbie, she ain't styling
Bitterness Barbie, boobs are sagging
What if I had a mastectomy?
Would they buy a one titted barbie?
With wiskers, clogged up pores
You know they'd take me out of the stores
Kids don't like me, moms are mad
I'm going off the market cause I look so sad
Bitterness Barbie, she ain't smiling
Bitterness Barbie, she ain't styling
Bitterness Barbie, boobs are sagging
Bitterness Barbie, her ass is dragging
Her ass is dragging, her boobs are sagging
Female pattern baldness befell
Barbie wigs so no one can tell
A barbie with age spots, well I never
Vericose veins would sure be clever
""Pluck my eyebrows"", Barbie today
Shave my toes and back today
Imagine if my eyes were crossed
Or if my hair was grey and course
With a sneer on my face
And a stain in my panties
A hairy crotch, an extra nipple!
I'm turning over a new loaf
I'm eating dry toast
I'm wearing slippers on my flat feet
I have cellulite
Crying tears of Crisco grease
Was I a beauty?
Am I a beast?
Bitterness Barbie, she ain't smiling
Bitterness Barbie, she ain't styling
Bitterness Barbie, boobs are sagging
Bitterness Barbie, her ass is dragging
Her ass is dragging, her boobs are sagging",,,
"Cicely Hamilton, Ethel Smyth ",The March of the Women,1,1910,"Shout, shout, up with your song!
Cry with the wind, for the dawn is breaking
March, march, swing you along
Wide blows our banner, and hope is waking
Song with its story, dreams with their glory
""Lo!"" they call, and glad is their word!
Loud and louder it swells
Thunder of freedom, the voice of the Lord!

Long, long—we in the past
Cowered in dread from the light of heaven
Strong, strong—stand we at last
Fearless in faith and with sight new given
Strength with its beauty, life with its duty
(Hear the voice, oh hear and obey!)
These, these—beckon us on!
Open your eyes to the blaze of day

Comrades—ye who have dared
First in the battle to strive and sorrow!
Scorned, spurned—nought have ye cared
Raising your eyes to a wider morrow
Ways that are weary, days that are dreary
Toil and pain by faith ye have borne
Hail, hail—victors ye stand
Wearing the wreath that the brave have worn!

Life, strife—those two are one
Naught can ye win but by faith and daring
On, on—that ye have done
But for the work of today preparing
Firm in reliance, laugh a defiance
(Laugh in hope, for sure is the end)
March, march—many as one
Shoulder to shoulder and friend to friend",,,
C.C Harrah,The Equal-Rights Banner,1,1884,"Oh say, have you heard of the new, dawning light,
Bringing hope to our land, and its foes all surprising?
Our banner still floats, as the emblem of right,
And the day breaks upon us, for women are rising.
And with ballots in hand, at the right’s dear command,
They’ll be true to the flag and will rescue our land;
And ever the EQUAL-RIGHTS BANNER shall wave
O’er the land of the free and the home of the brave.

How justice and right have been crushed to the dust,
While the foe of the home in protection reposes;
Behind screens, behind bars, and in places of trust,
Not true Freedom, but License its vile form discloses.
The injustice we see, and the women when free
Will destroy by the votes, and then saved shall we be;
And the EQUAL-RIGHTS BANNER forever shall wave
O’er the land of the free, and the home of the brave.

The women for truth and for virtue will stand,
And the country be freed from unjust legislation,
And heav’n then will smile on the purified land,
And the Power shall be praised that hath kept us a nation.
Woman’s ballot is just, so then conquer we must,
And this be our watchword—“In God is Our Trust!”
And our EQUAL-RIGHTS BANNER in triumph shall wave
O’er the land of the free and the home of the brave. ",,,
Edward Christie,Daughters of Freedom,1,1871,"Daughters of Freedom arise in your might, 
March to the watchwords Justice and Right! 
Why will ye slumber? wake, O wake! 
Lo! on your legions light doth break, 
Sunder the fetters ""custom"" hath made! 
Come from the valley, hill and glade!",,,
Aretha Franklin,Respect,2,1967,"[Verse 1]
What you want, baby, I got it
What you need, do you know I got it?

[Chorus]
All I'm askin' is for a little respect when you come home
(Just a little bit) Hey baby
(Just a little bit) when you get home
(Just a little bit) mister
(Just a little bit)

[Verse 2]
I ain't gonna do you wrong while you're gone
Ain't gon' do you wrong 'cause I don't wanna

[Chorus]
All I'm askin' is for a little respect when you come home
(Just a little bit) Baby
(Just a little bit) When you get home
(Just a little bit) Yeah
(Just a little bit)

[Verse 3]
I'm about to give you all of my money
And all I'm askin' in return, honey
Is to give me my propers when you get home
 [Refrain]
(Just a, just a, just a, just a) Yeah, baby
(Just a, just a, just a, just a) When you get home
(Just a little bit) Yeah
(Just a little bit)

[Instrumental]

[Verse 4]
Ooh, your kisses, sweeter than honey
And guess what? So is my money

[Chorus 2]
All I want you to do for me, is give it to me when you get home
(Re, re, re, re) Yeah baby
(Re, re, re, re) Whip it to me
(Respect, just a little bit) When you get home, now
(Just a little bit)

[Verse 5]
R-E-S-P-E-C-T, find out what it means to me
R-E-S-P-E-C-T, take care of T-C-B

[Outro]
(Sock it to me, sock it to me, sock it to me, sock it to me)
A little respect
(Sock it to me, sock it to me, sock it to me, sock it to me)
Whoa, babe
(Just a little bit) A little respect
(Just a little bit) I get tired
(Just a little bit) Keep on tryin'
(Just a little bit) You're runnin' out of fools
(Just a little bit) And I ain't lyin'
(Just a little bit)
(Re, re, re, re) Start when you come home
(Re, re, re, respect) Or you might walk in
(Just a little bit) And find out I'm gone
(Just a little bit) I gotta have
(Just a little bit) A little respect
(Just a little bit)",,,
Queen Latifah,U.N.I.T.Y.,3,1993,"[Intro]
Uh, U.N.I.T.Y., U.N.I.T.Y. that's a unity
U.N.I.T.Y., love a black man from infinity to infinity
(Who you callin' a bitch?)

[Hook]
U.N.I.T.Y., U.N.I.T.Y. that's a unity (You gotta let him know)
(You go, come on, here we go)
U.N.I.T.Y., love a black woman from (Uh, you gotta let him know)
Infinity to infinity (You ain't a bitch or a ho, here we go)
U.N.I.T.Y., U.N.I.T.Y. that's a unity (Uh, you gotta let him know)
(Come on, come on, now here we go)
U.N.I.T.Y., love a black man from (Yeah, you gotta let him know)
Infinity to infinity (You ain't a bitch or a ho)

[Verse 1]
Instinct leads me to another flow
Every time I hear a brother call a girl a bitch or a ho
Tryna make a sister feel low
You know all of that gots to go
Now everybody knows there's exceptions to this rule
Now don't be gettin' mad, when we playin', it's cool
But don't you be calling me out my name
I bring wrath to those who disrespect me like a dame
That's why I'm talkin', one day I was walkin' down the block
I had my cutoff shorts on right 'cause it was crazy hot
I walked past these dudes when they passed me
One of 'em felt my booty, he was nasty
I turned around red, somebody was catchin' the wrath
Then the little one said, ""Ha ha, yeah me, bitch,"" and laughed
Since he was with his boys, he tried to break fly
Huh, I punched him dead in his eye
And said, ""Who you callin' a bitch?"" Yeah!
 [Hook]
U.N.I.T.Y., U.N.I.T.Y. that's a unity (Here we go, you gotta let him know)
(You go, come on, here we go)
U.N.I.T.Y., love a black woman from (You gotta let him know)
Infinity to infinity (You ain't a bitch or a ho, here we go)
U.N.I.T.Y., U.N.I.T.Y. that's a unity (Uh, you gotta let him know)
(You go, come on here we go)
U.N.I.T.Y., love a black man from (Yeah, you gotta let him know)
Infinity to infinity (You ain't a bitch or a ho)

[Verse 2]
I hit the bottom, there ain't nowhere else to go but up
Bad days at work give you an attitude and you erupt
And take it out on me but that's about enough
You put your hands on me again I'll put your ass in handcuffs
I guess I fell so deep in love I grew dependent see
I was too blind to see just how it was affectin' me
All that I knew was you was all the man I had
And I was scared to let you go
Even though you treated me bad
But I don’t want to see my kids see me gettin' beat down by daddy smackin' mommy all around
You say I'm nothin' without ya but I'm nothing' with ya
A man don't really love you if he hits ya
This is my notice to the door, I'm not takin' it no more
I'm not your personal whore, that's not what I'm here for
And nothing good gon' come to ya til you do right by me
Brother you wait and see (Who you callin' a bitch? Uh!)
[Hook]
U.N.I.T.Y., U.N.I.T.Y. that's a unity (Here we go, you gotta let him know)
(Come on, here we go)
U.N.I.T.Y., love a black man from (Yeah, you gotta let him know)
Infinity to infinity (You ain't a bitch or a ho, here we go)
U.N.I.T.Y., U.N.I.T.Y. that's a unity (Uh, you gotta let him know)
(Come on, here we go)
U.N.I.T.Y., love a black woman from (Yeah, you gotta let him know)
Infinity to infinity (You ain't a bitch or a ho)

[Verse 3]
What's goin' on in your mind is what I ask ya
But like Yo-Yo, you don't hear me though
You wear a rag around your head
And you call yourself a ""gangsta bitch""
Now that you saw Apache's video
I saw you wildin', actin' like a fool
I peeped you out the window jumping girls after school
But where did all of this come from?
A minute ago, you was a nerd and nobody ever heard of ya
Now you a wannabe...hard
You barely know your ABC's, please
There's plenty of people out there with triggers ready to pull it
Why you tryna jump in front of the bullet (Young lady)?
Uh, and real bad girls are the silent type
Ain't none of this worth gettin' your face sliced
'Cause that's what happened to your homegirl, right?
(Barking with no bite!)
She got to wear that for life
(Who you callin' a bitch? Uh!)
[Hook]
U.N.I.T.Y., U.N.I.T.Y. that's a unity (Here we go, you gotta let him know)
(Come on, here we go)
U.N.I.T.Y., Love a black woman from (You gotta let him know)
Infinity to infinity (You ain't a bitch or a ho, here we go)
U.N.I.T.Y., U.N.I.T.Y. that's a unity (Gotta let him know)
(Come on, here we go)
U.N.I.T.Y., Love a black man from (You must let him know)
Infinity to infinity (You ain't a bitch or a ho)",,,
Florence MacAulay,The Women's Marseillaise,1,1909,"Arise, ye daughters of a land
That vaunts its liberty!
Make restless rulers understand
That women must be free,
That women will be free.
Hark! Hark! The trumpet's calling!
Who'd be a laggard in the fight?
With victory even now in sight,
And stubborn foemen backward falling.

CHORUS: To freedom's cause till death
We swear our fealty
March on! March on!
Face to the dawn,
The dawn of liberty.

Arise! Though pain or loss betide,
Grudge naught of freedom's toll.
For what they loved the martyrs died;
Are we of meaner soul?
Are we of meaner soul?
Our comrades, greatly daring,
Through prison bars have led the way:
Who would not follow to the fray,
Their glorious struggle proudly sharing?",,,
